"","V1","V2","V3"
"1",1.85,27.8,1
"2",1.35,26.65,1
"3",1.4,23.25,2
"4",0.85,23.05,2
"5",0.5,22.35,2
"6",0.65,21.35,2
"7",1.1,22.05,2
"8",1.35,22.65,2
"9",1.95,22.8,2
"10",2.4,22.45,2
"11",1.8,22,2
"12",2.5,21.85,2
"13",2.95,21.4,2
"14",1.9,21.25,2
"15",1.35,21.45,2
"16",1.35,20.9,2
"17",1.25,20.35,2
"18",1.75,20.05,2
"19",2,20.6,2
"20",2.5,21,2
"21",1.7,19.05,2
"22",2.4,20.05,2
"23",3.05,20.45,2
"24",3.7,20.45,2
"25",3.45,19.9,2
"26",2.95,19.5,2
"27",2.4,19.4,2
"28",2.4,18.25,2
"29",2.85,18.75,2
"30",3.25,19.05,2
"31",3.95,19.6,2
"32",2.7,17.8,2
"33",3.45,18.05,2
"34",3.8,18.55,2
"35",4,19.1,2
"36",4.45,19.9,2
"37",4.65,19.15,2
"38",4.85,18.45,2
"39",4.3,18.05,2
"40",3.35,17.3,2
"41",3.7,16.3,2
"42",4.4,16.95,2
"43",4.25,17.4,2
"44",4.8,17.65,2
"45",5.25,18.25,2
"46",5.75,18.55,2
"47",5.3,19.25,2
"48",6.05,19.55,2
"49",6.5,18.9,2
"50",6.05,18.2,2
"51",5.6,17.8,2
"52",5.45,17.15,2
"53",5.05,16.55,2
"54",4.55,16.05,2
"55",4.95,15.45,2
"56",5.85,14.8,2
"57",5.6,15.3,2
"58",5.65,16,2
"59",5.95,16.8,2
"60",6.25,16.4,2
"61",6.1,17.45,2
"62",6.6,17.65,2
"63",6.65,18.3,2
"64",7.3,18.35,2
"65",7.85,18.3,2
"66",7.15,17.8,2
"67",7.6,17.7,2
"68",6.7,17.25,2
"69",7.3,17.25,2
"70",6.7,16.8,2
"71",7.3,16.65,2
"72",6.75,16.3,2
"73",7.4,16.2,2
"74",6.55,15.75,2
"75",7.35,15.8,2
"76",6.8,14.95,2
"77",7.45,15.1,2
"78",6.85,14.45,2
"79",7.6,14.6,2
"80",8.55,14.65,2
"81",8.2,15.5,2
"82",7.9,16.1,2
"83",8.05,16.5,2
"84",7.8,17,2
"85",8,17.45,2
"86",8.4,18.1,2
"87",8.65,17.75,2
"88",8.9,17.1,2
"89",8.4,17.1,2
"90",8.65,16.65,2
"91",8.45,16.05,2
"92",8.85,15.35,2
"93",9.6,15.3,2
"94",9.15,16,2
"95",10.2,16,2
"96",9.5,16.65,2
"97",10.75,16.6,2
"98",10.45,17.2,2
"99",9.85,17.1,2
"100",9.4,17.6,2
"101",10.15,17.7,2
"102",9.85,18.15,2
"103",9.05,18.25,2
"104",9.3,18.7,2
"105",9.15,19.15,2
"106",8.5,18.8,2
"107",11.65,17.45,2
"108",11.1,17.65,2
"109",10.4,18.25,2
"110",10,18.95,2
"111",11.95,18.25,2
"112",11.25,18.4,2
"113",10.6,18.9,2
"114",11.15,19,2
"115",11.9,18.85,2
"116",12.6,18.9,2
"117",11.8,19.45,2
"118",11.05,19.45,2
"119",10.3,19.4,2
"120",9.9,19.75,2
"121",10.45,20,2
"122",13.05,19.9,2
"123",12.5,19.75,2
"124",11.9,20.05,2
"125",11.2,20.25,2
"126",10.85,20.85,2
"127",11.4,21.25,2
"128",11.7,20.6,2
"129",12.3,20.45,2
"130",12.95,20.55,2
"131",12.55,20.95,2
"132",12.05,21.25,2
"133",11.75,22.1,2
"134",12.25,21.85,2
"135",12.8,21.5,2
"136",13.55,21,2
"137",13.6,21.6,2
"138",12.95,22,2
"139",12.5,22.25,2
"140",12.2,22.85,2
"141",12.7,23.35,2
"142",13,22.7,2
"143",13.55,22.2,2
"144",14.05,22.25,2
"145",14.2,23.05,2
"146",14.1,23.6,2
"147",13.5,22.8,2
"148",13.35,23.5,2
"149",13.3,24,2
"150",7.3,19.15,2
"151",7.95,19.35,2
"152",7.7,20.05,2
"153",6.75,19.9,2
"154",5.25,20.35,2
"155",6.15,20.7,1
"156",7,20.7,1
"157",7.6,21.2,1
"158",8.55,20.6,1
"159",9.35,20.5,1
"160",8.3,21.45,1
"161",7.9,21.6,1
"162",7.15,21.75,1
"163",6.7,21.3,1
"164",5.2,21.1,2
"165",6.2,21.95,1
"166",6.75,22.4,1
"167",6.15,22.5,1
"168",5.65,22.2,1
"169",4.65,22.55,1
"170",4.1,23.45,1
"171",5.35,22.8,1
"172",7.4,22.6,1
"173",7.75,22.1,1
"174",8.5,22.3,1
"175",9.3,22,1
"176",9.7,22.95,1
"177",8.8,22.95,1
"178",8.05,22.9,1
"179",7.6,23.15,1
"180",6.85,23,1
"181",6.2,23.25,1
"182",5.7,23.4,1
"183",5.1,23.55,1
"184",4.55,24.15,1
"185",5.5,24,1
"186",6.1,24.05,1
"187",6.5,23.6,1
"188",6.75,23.95,1
"189",7.3,23.75,1
"190",8.3,23.4,1
"191",8.9,23.7,1
"192",9.55,23.65,1
"193",10.35,24.1,1
"194",7.95,24.05,1
"195",3.95,24.4,1
"196",3.75,25.25,1
"197",3.9,25.95,1
"198",4.55,26.65,1
"199",5.25,26.75,1
"200",6.5,27.6,1
"201",7.45,27.6,1
"202",8.35,27.35,1
"203",9.25,27.2,1
"204",9.95,26.5,1
"205",10.55,25.6,1
"206",9.9,24.95,1
"207",9.2,24.5,1
"208",8.55,24.2,1
"209",8.8,24.8,1
"210",9.2,25.35,1
"211",9.55,26.05,1
"212",9.05,26.6,1
"213",8.8,25.8,1
"214",8.15,26.35,1
"215",8.05,25.8,1
"216",8.35,25.2,1
"217",7.9,25.3,1
"218",8.05,24.7,1
"219",7.3,24.4,1
"220",7.55,24.85,1
"221",6.85,24.45,1
"222",6.25,24.65,1
"223",5.55,24.5,1
"224",4.65,25.1,1
"225",5,25.55,1
"226",5.55,26.1,1
"227",5.55,25.25,1
"228",6.2,25.2,1
"229",6.8,25.05,1
"230",7.4,25.25,1
"231",6.65,25.45,1
"232",6.15,25.8,1
"233",6.5,26.1,1
"234",6.6,26.6,1
"235",7.7,26.65,1
"236",7.5,26.2,1
"237",7.5,25.65,1
"238",7.05,25.85,1
"239",6.9,27.15,1
"240",6.15,26.9,1
